Rank,Release Group,Worldwide,Domestic,%,Foreign,%
86,When a Stranger Calls,"$67,062,123","$47,860,214",71.4%,"$19,201,909",28.6%
87,Take the Lead,"$66,499,627","$34,742,066",52.2%,"$31,757,561",47.8%
88,Flags of Our Fathers,"$65,900,249","$33,602,376",51%,"$32,297,873",49%
89,16 Blocks,"$65,664,721","$36,895,141",56.2%,"$28,769,580",43.8%
90,The Benchwarmers,"$64,962,629","$59,843,754",92.1%,"$5,118,875",7.9%
91,Madea's Family Reunion,"$63,368,939","$63,318,000",99.9%,"$50,939",<0.1%
92,Snakes on a Plane,"$62,022,014","$34,020,814",54.9%,"$28,001,200",45.1%
93,My Super Ex-Girlfriend,"$61,108,981","$22,530,295",36.9%,"$38,578,686",63.1%
94,Marie Antoinette,"$60,917,189","$15,962,471",26.2%,"$44,954,718",73.8%
95,Invincible,"$58,480,828","$57,806,952",98.8%,"$673,876",1.2%
96,She's the Man,"$57,194,667","$33,741,133",59%,"$23,453,534",41%
97,Lucky Number Slevin,"$56,308,881","$22,495,466",40%,"$33,813,415",60%
98,The Ant Bully,"$55,181,129","$28,142,535",51%,"$27,038,594",49%
99,Stranger Than Fiction,"$53,653,224","$40,660,952",75.8%,"$12,992,272",24.2%
100,The Texas Chainsaw Massacre: The Beginning,"$51,764,406","$39,517,763",76.3%,"$12,246,643",23.7%
101,Notes on a Scandal,"$49,814,392","$17,510,118",35.2%,"$32,304,274",64.8%
102,An Inconvenient Truth,"$49,782,012","$24,146,161",48.5%,"$25,635,851",51.5%
103,The Black Dahlia,"$49,332,692","$22,545,080",45.7%,"$26,787,612",54.3%
104,The Last King of Scotland,"$48,618,191","$17,606,684",36.2%,"$31,011,507",63.8%
105,Deck the Halls,"$47,232,776","$35,093,569",74.3%,"$12,139,207",25.7%
106,The Nativity Story,"$46,432,264","$37,629,831",81%,"$8,802,433",19%
107,We Are Marshall,"$43,545,364","$43,545,364",100%,-,-
108,Last Holiday,"$43,446,924","$38,399,961",88.4%,"$5,046,963",11.6%
109,Glory Road,"$42,938,449","$42,647,449",99.3%,"$291,000",0.7%
110,Crank,"$42,931,041","$27,838,408",64.8%,"$15,092,633",35.2%
111,Man of the Year,"$42,472,472","$37,327,390",87.9%,"$5,145,082",12.1%
112,A Good Year,"$42,269,923","$7,459,300",17.6%,"$34,810,623",82.4%
113,Gridiron Gang,"$41,480,851","$38,432,823",92.7%,"$3,048,028",7.3%
114,Thank You for Smoking,"$39,323,027","$24,793,509",63.1%,"$14,529,518",36.9%
